Row ID,Order ID,Ship Mode,Customer ID,City,State,Postal Code,Region,Product ID,Sales,Quantity,Discount,Profit,OrderDate,ShipDate
1,CA-2013-152156,Second Class,CG-12520,Henderson,Kentucky,42420,South,FUR-BO-10001798,261.96,2,0.0,41.9136,2022-10-09,2022-10-12
2,CA-2013-152156,Second Class,CG-12520,Henderson,Kentucky,42420,South,FUR-CH-10000454,731.94,3,0.0,219.582,2022-10-09,2022-10-12
3,CA-2013-138688,Second Class,DV-13045,Los Angeles,California,90036,West,OFF-LA-10000240,14.62,2,0.0,6.8714,2022-05-13,2022-05-17
4,US-2012-108966,Standard Class,SO-20335,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,957.5775,5,0.45,-383.031,2021-09-11,2021-09-18
5,US-2012-108966,Standard Class,SO-20335,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,22.368,2,0.2,2.5164,2021-09-11,2021-09-18
6,CA-2011-115812,Standard Class,BH-11710,Los Angeles,California,90032,West,FUR-FU-10001487,48.86,7,0.0,14.1694,2020-05-09,2020-05-14
7,CA-2011-115812,Standard Class,BH-11710,Los Angeles,California,90032,West,OFF-AR-10002833,7.28,4,0.0,1.9656,2020-05-09,2020-05-14
8,CA-2011-115812,Standard Class,BH-11710,Los Angeles,California,90032,West,TEC-PH-10002275,907.152,6,0.2,90.7152,2020-05-09,2020-05-14
9,CA-2011-115812,Standard Class,BH-11710,Los Angeles,California,90032,West,OFF-BI-10003910,18.504,3,0.2,5.7825,2020-05-09,2020-05-14
10,CA-2011-115812,Standard Class,BH-11710,Los Angeles,California,90032,West,OFF-AP-10002892,114.9,5,0.0,34.47,2020-05-09,2020-05-14
11,CA-2011-115812,Standard Class,BH-11710,Los Angeles,California,90032,West,FUR-TA-10001539,1706.184,9,0.2,85.3092,2020-05-09,2020-05-14
12,CA-2011-115812,Standard Class,BH-11710,Los Angeles,California,90032,West,TEC-PH-10002033,911.424,4,0.2,68.3568,2020-05-09,2020-05-14
13,CA-2014-114412,Standard Class,AA-10480,Concord,North Carolina,28027,South,OFF-PA-10002365,15.552,3,0.2,5.4432,2023-03-16,2023-03-21
14,CA-2013-161389,Standard Class,IM-15070,Seattle,Washington,98103,West,OFF-BI-10003656,407.976,3,0.2,132.5922,2022-11-06,2022-11-11
15,US-2012-118983,Standard Class,HP-14815,Fort Worth,Texas,76106,Central,OFF-AP-10002311,68.81,5,0.8,-123.858,2021-10-22,2021-10-26
16,US-2012-118983,Standard Class,HP-14815,Fort Worth,Texas,76106,Central,OFF-BI-10000756,2.544,3,0.8,-3.816,2021-10-22,2021-10-26
17,CA-2011-105893,Standard Class,PK-19075,Madison,Wisconsin,53711,Central,OFF-ST-10004186,665.88,6,0.0,13.3176,2020-10-11,2020-10-18
18,CA-2011-167164,Second Class,AG-10270,West Jordan,Utah,84084,West,OFF-ST-10000107,55.5,2,0.0,9.99,2020-04-13,2020-04-15
19,CA-2011-143336,Second Class,ZD-21925,San Francisco,California,94109,West,OFF-AR-10003056,8.56,2,0.0,2.4824,2020-07-27,2020-08-01
20,CA-2011-143336,Second Class,ZD-21925,San Francisco,California,94109,West,TEC-PH-10001949,213.48,3,0.2,16.011,2020-07-27,2020-08-01
21,CA-2011-143336,Second Class,ZD-21925,San Francisco,California,94109,West,OFF-BI-10002215,22.72,4,0.2,7.384,2020-07-27,2020-08-01
22,CA-2013-137330,Standard Class,KB-16585,Fremont,Nebraska,68025,Central,OFF-AR-10000246,19.46,7,0.0,5.0596,2022-11-10,2022-11-14
23,CA-2013-137330,Standard Class,KB-16585,Fremont,Nebraska,68025,Central,OFF-AP-10001492,60.34,7,0.0,15.6884,2022-11-10,2022-11-14
24,US-2014-156909,Second Class,SF-20065,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,71.372,2,0.3,-1.0196,2023-06-17,2023-06-19
25,CA-2012-106320,Standard Class,EB-13870,Orem,Utah,84057,West,FUR-TA-10000577,1044.63,3,0.0,240.2649,2021-08-25,2021-08-30
26,CA-2013-121755,Second Class,EH-13945,Los Angeles,California,90049,West,OFF-BI-10001634,11.648,2,0.2,4.2224,2021-12-16,2021-12-20
27,CA-2013-121755,Second Class,EH-13945,Los Angeles,California,90049,West,TEC-AC-10003027,90.57,3,0.0,11.7741,2021-12-16,2021-12-20
28,US-2012-150630,Standard Class,TB-21520,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,2021-08-17,2021-08-21
29,US-2012-150630,Standard Class,TB-21520,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,9.618,2,0.7,-7.0532,2021-08-17,2021-08-21
30,US-2012-150630,Standard Class,TB-21520,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,124.2,3,0.2,15.525,2021-08-17,2021-08-21
